video_id,channel_id,platform,publish_date,publish_hour,duration_seconds,video_type,total_views,first_7d_views,first_30d_views,watch_time_minutes,watch_time_7d,watch_time_30d,likes,comments,shares,dislikes,ad_impressions,engagement_rate,estimated_cpm,avg_view_duration_seconds,avg_percentage_viewed
vid_1131677,channel_10887,YouTube,2026-02-22,9,24,Short,158,158.0,158.0,183.0,183.0,183.0,5.0,0.0,0.0,0.0,0.0,3.16,0.06,69.49,289.56
vid_1127449,channel_8061,YouTube,2026-02-22,12,19,Short,6161,6161.0,6161.0,2063.0,2063.0,2063.0,40.0,0.0,0.0,27.0,0.0,0.65,0.06,20.09,105.74
vid_1127289,channel_6941,YouTube,2026-02-22,14,48,Short,2288,2288.0,2288.0,1608.0,1608.0,1608.0,34.0,0.0,1.0,9.0,0.0,1.53,0.0,42.17,87.85
vid_1131549,channel_6941,YouTube,2026-02-22,13,53,Short,1265,1265.0,1265.0,1057.0,1057.0,1057.0,35.0,0.0,1.0,3.0,0.0,2.85,0.0,50.13,94.59
vid_1131158,channel_11257,YouTube,2026-02-22,20,154,Short,1165,1165.0,1165.0,1442.0,1442.0,1442.0,59.0,0.0,1.0,4.0,0.0,5.15,0.11,74.27,48.22
vid_1130950,channel_11257,YouTube,2026-02-22,13,1216,Production,183,183.0,183.0,593.0,593.0,593.0,5.0,3.0,0.0,0.0,241.0,4.37,3.33,194.43,15.99
vid_1128053,channel_11257,YouTube,2026-02-22,12,156,Short,822,822.0,822.0,986.0,986.0,986.0,48.0,0.0,2.0,2.0,0.0,6.08,0.09,71.97,46.14
vid_1122135,channel_11257,YouTube,2026-02-15,11,,Live,993,993.0,993.0,3436.0,3436.0,3436.0,14.0,0.0,0.0,2.0,1574.0,1.41,2.83,207.61,0.0
vid_1129763,channel_11257,YouTube,2026-02-22,9,102,Short,799,799.0,799.0,522.0,522.0,522.0,17.0,0.0,2.0,0.0,0.0,2.38,0.08,39.2,38.43
vid_1121375,channel_8061,YouTube,2026-02-21,12,28,Short,10672,10672.0,10672.0,4765.0,4765.0,4765.0,114.0,1.0,0.0,28.0,0.0,1.08,0.04,26.79,95.68
vid_1132057,channel_6941,YouTube,2026-02-21,14,27,Short,553,553.0,553.0,219.0,219.0,219.0,8.0,0.0,0.0,0.0,0.0,1.45,0.0,23.76,88.0
vid_1130873,channel_6941,YouTube,2026-02-21,13,7,Short,1814,1814.0,1814.0,430.0,430.0,430.0,19.0,0.0,1.0,4.0,0.0,1.1,0.0,14.22,203.18
vid_1130701,channel_11257,YouTube,2026-02-16,19,,Live,1966,1966.0,1966.0,2909.0,2909.0,2909.0,38.0,0.0,1.0,8.0,3162.0,1.98,2.44,88.78,0.0
vid_1131631,channel_11257,YouTube,2026-02-21,14,180,Short,4298,4298.0,4298.0,8491.0,8491.0,8491.0,198.0,1.0,3.0,7.0,0.0,4.7,0.06,118.53,65.85
vid_1129701,channel_9199,YouTube,2026-01-08,12,192,Production,3,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vid_1131196,channel_9199,YouTube,2026-01-08,12,192,Production,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vid_1128128,channel_9199,YouTube,2025-12-19,14,682,Production,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vid_1121286,channel_5701,YouTube,2025-08-26,12,,Live,30,30.0,30.0,192.0,192.0,192.0,0.0,0.0,0.0,0.0,65.0,0.0,2.67,384.0,0.0
vid_1121588,channel_5472,YouTube,2025-08-28,10,299,Production,2,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.03
vid_1130556,channel_10887,YouTube,2026-02-21,15,90,Short,115,115.0,115.0,63.0,63.0,63.0,2.0,0.0,0.0,2.0,0.0,1.74,0.0,32.87,36.52
vid_1127496,channel_10887,YouTube,2026-02-21,14,19,Short,134,134.0,134.0,48.0,48.0,48.0,1.0,0.0,0.0,0.0,0.0,0.75,0.07,21.49,113.12
vid_1132391,channel_10887,YouTube,2026-02-21,11,47,Short,207,207.0,207.0,116.0,116.0,116.0,2.0,0.0,0.0,1.0,0.0,0.97,0.05,33.62,71.54
vid_1129412,channel_8061,YouTube,2026-02-20,17,42,Short,512,512.0,512.0,228.0,228.0,228.0,18.0,1.0,1.0,6.0,0.0,3.91,0.06,26.72,63.62
vid_1129841,channel_8061,YouTube,2026-02-20,10,1057,Production,588,588.0,588.0,2301.0,2301.0,2301.0,9.0,0.0,0.0,1.0,736.0,1.53,2.35,234.8,22.21
vid_1122006,channel_6941,YouTube,2026-02-20,15,26,Short,6874,6874.0,6874.0,3355.0,3355.0,3355.0,85.0,0.0,2.0,20.0,0.0,1.27,0.0,29.28,112.63
vid_1132101,channel_6941,YouTube,2026-02-20,14,35,Short,2804,2804.0,2804.0,1661.0,1661.0,1661.0,33.0,0.0,0.0,16.0,0.0,1.18,0.0,35.54,101.55
vid_1130595,channel_11257,YouTube,2026-02-20,20,29,Short,16793,16793.0,16793.0,9242.0,9242.0,9242.0,217.0,1.0,3.0,55.0,0.0,1.32,0.06,33.02,113.87
vid_1127968,channel_11257,YouTube,2026-02-20,13,568,Production,123,123.0,123.0,203.0,203.0,203.0,0.0,0.0,0.0,0.0,139.0,0.0,3.17,99.02,17.43
vid_1129945,channel_11257,YouTube,2026-02-20,11,18,Short,7764,7764.0,7764.0,2280.0,2280.0,2280.0,71.0,0.0,2.0,19.0,0.0,0.94,0.05,17.62,97.89
vid_1121435,channel_11257,YouTube,2026-02-20,9,11,Short,5295,5295.0,5295.0,1442.0,1442.0,1442.0,56.0,1.0,3.0,13.0,0.0,1.13,0.07,16.34,148.54
vid_1128040,channel_11257,YouTube,2026-02-19,9,11,Short,4346,4346.0,4346.0,1134.0,1134.0,1134.0,53.0,0.0,3.0,12.0,0.0,1.29,0.08,15.66,142.33
vid_1129654,channel_10769,YouTube,2026-02-19,14,1253,Production,54,54.0,54.0,41.0,41.0,41.0,1.0,0.0,0.0,0.0,0.0,1.85,0.0,45.56,3.64
vid_1129328,channel_10438,YouTube,2026-02-20,13,,Live,2671,2671.0,2671.0,12334.0,12334.0,12334.0,20.0,0.0,2.0,3.0,4706.0,0.82,1.89,277.06,0.0
vid_1131277,channel_10438,YouTube,2026-02-19,12,1091,Production,266595,266595.0,266595.0,1375686.0,1375686.0,1375686.0,750.0,18.0,50.0,224.0,381535.0,0.31,1.15,309.61,28.38
vid_1122039,channel_10887,YouTube,2026-02-20,15,23,Short,122,122.0,122.0,38.0,38.0,38.0,3.0,0.0,0.0,2.0,0.0,2.46,0.08,18.69,81.25
vid_1131093,channel_10887,YouTube,2026-02-20,13,24,Short,242,242.0,242.0,101.0,101.0,101.0,3.0,0.0,0.0,2.0,0.0,1.24,0.04,25.04,104.34
vid_1126899,channel_10887,YouTube,2026-02-20,9,20,Short,184,184.0,184.0,67.0,67.0,67.0,4.0,0.0,0.0,0.0,0.0,2.17,0.05,21.85,109.24
vid_1121970,channel_10887,YouTube,2026-02-19,15,90,Short,100,100.0,100.0,64.0,64.0,64.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,38.4,42.67
vid_1130730,channel_10887,YouTube,2026-02-19,13,15,Short,256,256.0,256.0,70.0,70.0,70.0,6.0,0.0,0.0,2.0,0.0,2.34,0.04,16.41,109.38
vid_1121800,channel_10887,YouTube,2026-02-19,9,21,Short,202,202.0,202.0,75.0,75.0,75.0,2.0,0.0,0.0,1.0,0.0,0.99,0.05,22.28,106.08
vid_1121680,channel_8061,YouTube,2026-02-19,12,25,Short,4138,4138.0,4138.0,1783.0,1783.0,1783.0,55.0,0.0,2.0,18.0,0.0,1.38,0.05,25.85,103.41
vid_1127248,channel_6941,YouTube,2026-02-19,15,24,Short,492,492.0,492.0,197.0,197.0,197.0,6.0,0.0,0.0,4.0,0.0,1.22,0.0,24.02,100.1
vid_1131125,channel_6941,YouTube,2026-02-19,14,25,Short,1528,1528.0,1528.0,671.0,671.0,671.0,28.0,0.0,0.0,7.0,0.0,1.83,0.0,26.35,105.39
vid_1126865,channel_8061,YouTube,2026-02-18,12,953,Production,782,782.0,782.0,434.0,434.0,434.0,8.0,0.0,0.0,0.0,930.0,1.02,1.5,33.3,3.49
vid_1131756,channel_6941,YouTube,2026-02-18,15,22,Short,820,820.0,820.0,338.0,338.0,338.0,13.0,0.0,0.0,6.0,0.0,1.59,0.0,24.73,112.42
vid_1131006,channel_6941,YouTube,2026-02-18,14,16,Short,8949,8949.0,8949.0,2809.0,2809.0,2809.0,89.0,0.0,1.0,20.0,0.0,1.01,0.0,18.83,117.71
vid_1128846,channel_11257,YouTube,2026-02-18,16,10,Short,3034,3034.0,3034.0,821.0,821.0,821.0,42.0,0.0,0.0,7.0,0.0,1.38,0.1,16.24,162.36
vid_1127151,channel_11257,YouTube,2026-02-18,11,11,Short,11974,11974.0,11974.0,3331.0,3331.0,3331.0,88.0,1.0,1.0,18.0,0.0,0.75,0.09,16.69,151.74
vid_1128492,channel_11257,YouTube,2026-02-18,0,10,Short,3522,3522.0,3522.0,844.0,844.0,844.0,57.0,1.0,2.0,13.0,0.0,1.7,0.07,14.38,143.78
vid_1131694,channel_10438,YouTube,2026-02-18,12,1879,Production,8490,8490.0,8490.0,66288.0,66288.0,66288.0,60.0,1.0,3.0,13.0,15115.0,0.75,1.66,468.47,24.93
vid_1132318,channel_10887,YouTube,2026-02-18,15,30,Short,149,149.0,149.0,60.0,60.0,60.0,4.0,0.0,0.0,0.0,0.0,2.68,0.07,24.16,80.54
vid_1127645,channel_10887,YouTube,2026-02-18,13,21,Short,155,155.0,155.0,59.0,59.0,59.0,4.0,0.0,0.0,0.0,0.0,2.58,0.06,22.84,108.76
vid_1126859,channel_10887,YouTube,2026-02-18,10,35,Short,247,247.0,247.0,126.0,126.0,126.0,2.0,0.0,0.0,0.0,0.0,0.81,0.04,30.61,87.45
vid_1122119,channel_9119,YouTube,2025-11-17,6,28,Short,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,214.29
vid_1127517,channel_9119,YouTube,2025-12-09,7,141,Production,3,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.18
vid_1128620,channel_8061,YouTube,2026-02-17,12,12,Short,7483,7483.0,7483.0,2230.0,2230.0,2230.0,117.0,1.0,2.0,40.0,0.0,1.6,0.03,17.88,149.0
vid_1130635,channel_6941,YouTube,2026-02-17,15,40,Short,2275,2275.0,2275.0,1081.0,1081.0,1081.0,32.0,0.0,0.0,8.0,0.0,1.41,0.0,28.51,71.27
vid_1131906,channel_6941,YouTube,2026-02-17,14,46,Short,1611,1611.0,1611.0,1092.0,1092.0,1092.0,32.0,1.0,1.0,9.0,0.0,2.11,0.0,40.67,88.41
vid_1129738,channel_10438,YouTube,2026-02-17,14,18,Short,17788,17788.0,17788.0,7202.0,7202.0,7202.0,229.0,0.0,3.0,74.0,0.0,1.3,0.04,24.29,134.96
vid_1128165,channel_10887,YouTube,2026-02-17,15,29,Short,107,107.0,107.0,32.0,32.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09,17.94,61.88
vid_1129554,channel_10887,YouTube,2026-02-17,13,13,Short,132,132.0,132.0,39.0,39.0,39.0,2.0,0.0,0.0,0.0,0.0,1.52,0.08,17.73,136.36
vid_1132323,channel_10887,YouTube,2026-02-17,10,22,Short,243,243.0,243.0,95.0,95.0,95.0,4.0,0.0,0.0,1.0,0.0,1.65,0.04,23.46,106.62
vid_1121765,channel_8061,YouTube,2026-02-16,12,1076,Production,1142,1142.0,1142.0,1077.0,1077.0,1077.0,7.0,0.0,1.0,1.0,1395.0,0.7,1.81,56.58,5.26
vid_1121451,channel_6941,YouTube,2026-02-16,15,17,Short,1833,1833.0,1833.0,647.0,647.0,647.0,24.0,0.0,0.0,12.0,0.0,1.31,0.0,21.18,124.58
vid_1127070,channel_6941,YouTube,2026-02-16,14,33,Short,2083,2083.0,2083.0,1119.0,1119.0,1119.0,44.0,0.0,0.0,6.0,0.0,2.11,0.0,32.23,97.67
vid_1131237,channel_6411,YouTube,2026-02-16,14,18,Short,2286,2286.0,2286.0,667.0,667.0,667.0,15.0,0.0,0.0,5.0,0.0,0.66,0.02,17.51,97.26
vid_1129991,channel_6411,YouTube,2026-02-16,11,20,Short,10854,10854.0,10854.0,3471.0,3471.0,3471.0,97.0,1.0,0.0,11.0,0.0,0.9,0.01,19.19,95.94
vid_1132183,channel_6411,YouTube,2026-02-16,8,20,Short,2870,2870.0,2870.0,837.0,837.0,837.0,32.0,0.0,0.0,6.0,0.0,1.11,0.02,17.5,87.49
vid_1130859,channel_11257,YouTube,2026-02-09,7,,Live,56131,56131.0,56131.0,287858.0,287858.0,287858.0,104.0,0.0,5.0,10.0,52327.0,0.19,1.39,307.7,0.0
vid_1127967,channel_10438,YouTube,2026-02-16,12,1091,Production,720971,720971.0,720971.0,3866141.0,3866141.0,3866141.0,2330.0,54.0,229.0,651.0,1078774.0,0.36,1.14,321.74,29.49
vid_1121707,channel_8061,YouTube,2026-02-15,4,23,Short,10421,10338.0,10421.0,4345.0,4315.0,4345.0,144.0,1.0,4.0,57.0,0.0,1.43,0.05,25.02,108.77
vid_1127867,channel_6941,YouTube,2026-02-15,14,23,Short,4570,4561.0,4570.0,2282.0,2279.0,2282.0,37.0,0.0,1.0,11.0,0.0,0.83,0.0,29.96,130.26
vid_1121175,channel_6941,YouTube,2026-02-15,13,21,Short,2478,2474.0,2478.0,910.0,909.0,910.0,24.0,0.0,0.0,7.0,0.0,0.97,0.0,22.03,104.92
vid_1127172,channel_6941,YouTube,2026-02-14,14,13,Short,807,796.0,807.0,311.0,307.0,311.0,15.0,0.0,0.0,7.0,0.0,1.86,0.0,23.12,177.87
vid_1128621,channel_6941,YouTube,2026-02-14,13,46,Short,1626,1619.0,1626.0,1088.0,1082.0,1088.0,24.0,0.0,0.0,4.0,0.0,1.48,0.0,40.15,87.28
vid_1127045,channel_6411,YouTube,2026-02-15,14,19,Short,23354,22651.0,23354.0,7172.0,6936.0,7172.0,146.0,1.0,1.0,36.0,0.0,0.63,0.01,18.43,96.98
vid_1127193,channel_6411,YouTube,2026-02-15,11,16,Short,4155,4154.0,4155.0,1195.0,1195.0,1195.0,24.0,0.0,0.0,4.0,0.0,0.58,0.02,17.26,107.85
vid_1132079,channel_6411,YouTube,2026-02-15,8,10,Short,118,117.0,118.0,53.0,53.0,53.0,2.0,0.0,0.0,1.0,0.0,1.69,0.0,26.95,269.49
vid_1129213,channel_6411,YouTube,2026-02-14,14,12,Short,17657,17576.0,17657.0,4228.0,4212.0,4228.0,117.0,0.0,1.0,25.0,0.0,0.67,0.01,14.37,119.73
vid_1131892,channel_6411,YouTube,2026-02-14,11,12,Short,1161,1159.0,1161.0,268.0,267.0,268.0,15.0,0.0,0.0,1.0,0.0,1.29,0.02,13.85,115.42
vid_1122355,channel_6411,YouTube,2026-02-14,8,11,Short,2802,2798.0,2802.0,589.0,588.0,589.0,28.0,1.0,0.0,3.0,0.0,1.03,0.02,12.61,114.66
vid_1128753,channel_11257,YouTube,2026-02-15,20,169,Short,3480,3462.0,3480.0,6441.0,6302.0,6441.0,225.0,0.0,3.0,5.0,0.0,6.55,0.09,111.05,65.71
vid_1128066,channel_11257,YouTube,2026-02-15,19,172,Short,1859,1837.0,1859.0,2946.0,2886.0,2946.0,251.0,0.0,0.0,8.0,0.0,13.5,0.09,95.08,55.28
vid_1128641,channel_11257,YouTube,2026-02-15,13,1014,Production,534,514.0,534.0,1741.0,1674.0,1741.0,3.0,0.0,0.0,1.0,739.0,0.56,3.03,195.62,19.29
vid_1122211,channel_11257,YouTube,2026-02-15,12,171,Short,2210,2195.0,2210.0,3419.0,3399.0,3419.0,164.0,1.0,0.0,2.0,0.0,7.47,0.08,92.82,54.28
vid_1126813,channel_11257,YouTube,2026-02-15,11,18,Short,2760,2738.0,2760.0,1020.0,1004.0,1020.0,40.0,0.0,0.0,5.0,0.0,1.45,0.08,22.17,123.19
vid_1131871,channel_10769,YouTube,2026-02-15,14,1591,Production,231,221.0,231.0,754.0,751.0,754.0,2.0,0.0,0.0,0.0,0.0,0.87,0.0,195.84,12.31
vid_1130215,channel_10438,YouTube,2026-02-15,14,,Live,6379,6374.0,6379.0,46760.0,46749.0,46760.0,34.0,0.0,6.0,9.0,12511.0,0.63,2.27,439.82,0.0
vid_1131573,channel_10438,YouTube,2026-02-14,13,,Live,2585,2516.0,2585.0,30782.0,29834.0,30782.0,14.0,0.0,4.0,0.0,6051.0,0.7,2.59,714.48,0.0
vid_1128794,channel_6846,YouTube,2026-01-13,16,1556,Production,91,0.0,63.0,161.0,0.0,118.0,0.0,0.0,2.0,0.0,0.0,2.2,0.0,106.15,6.82
vid_1127610,channel_6846,YouTube,2026-01-11,14,1843,Production,81,0.0,46.0,328.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.96,13.18
vid_1130860,channel_6846,YouTube,2026-01-07,17,1728,Production,44,0.0,17.0,94.0,0.0,52.0,0.0,0.0,3.0,0.0,0.0,6.82,0.0,128.18,7.42
vid_1130694,channel_6846,YouTube,2026-01-04,19,1148,Production,96,0.0,31.0,274.0,0.0,104.0,0.0,0.0,2.0,0.0,0.0,2.08,0.0,171.25,14.92
vid_1131421,channel_6846,YouTube,2026-01-01,17,2499,Production,43,0.0,16.0,65.0,0.0,43.0,0.0,0.0,2.0,0.0,0.0,4.65,0.0,90.7,3.63
vid_1121631,channel_6846,YouTube,2025-12-29,15,1521,Production,91,,,265.0,,,0.0,0.0,3.0,0.0,0.0,3.3,0.0,174.73,11.49
vid_1130594,channel_6846,YouTube,2025-12-27,12,1184,Production,39,,,70.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.69,9.1
vid_1129013,channel_6846,YouTube,2025-12-22,14,1998,Production,5,,,7.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,4.2
vid_1128722,channel_6846,YouTube,2025-12-20,17,38,Short,394,,,226.0,,,7.0,0.0,0.0,2.0,0.0,1.78,0.0,34.42,90.57
vid_1132343,channel_6846,YouTube,2025-12-19,15,1442,Production,2,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vid_1129720,channel_6846,YouTube,2025-12-17,14,,Live,9,,,34.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.67,0.0
vid_1131920,channel_6846,YouTube,2025-12-17,14,959,Production,4,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vid_1131130,channel_6846,YouTube,2025-12-16,14,55,Short,256,,,171.0,,,5.0,0.0,0.0,2.0,0.0,1.95,0.0,40.08,72.87
vid_1126720,channel_6846,YouTube,2025-12-14,14,31,Short,434,,,199.0,,,10.0,0.0,0.0,3.0,0.0,2.3,0.0,27.51,88.75
vid_1128746,channel_6846,YouTube,2025-12-14,13,1297,Production,17,,,56.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.65,15.24
vid_1132280,channel_6846,YouTube,2025-12-12,15,1408,Production,9,,,44.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.33,20.83
vid_1128384,channel_6846,YouTube,2025-12-10,15,1809,Production,414,,,223.0,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,32.32,1.79
vid_1126735,channel_6846,YouTube,2025-12-08,16,1376,Production,53,,,117.0,,,0.0,0.0,1.0,0.0,0.0,1.89,0.0,132.45,9.63
vid_1131875,channel_6846,YouTube,2025-12-07,18,38,Short,395,,,214.0,,,13.0,0.0,0.0,3.0,0.0,3.29,0.0,32.51,85.54
vid_1121257,channel_6846,YouTube,2025-12-06,14,996,Production,27,,,3.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.67
vid_1130569,channel_6846,YouTube,2025-12-04,15,1168,Production,1,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vid_1130972,channel_6846,YouTube,2025-11-30,13,22,Short,314,,,147.0,,,8.0,0.0,0.0,2.0,0.0,2.55,0.0,28.09,127.68
vid_1128235,channel_6846,YouTube,2025-11-30,12,1129,Production,1,,,0.0,,,0.0,0.0,2.0,0.0,0.0,200.0,0.0,0.0,0.0
vid_1129618,channel_6846,YouTube,2025-11-27,15,44,Short,700,,,436.0,,,18.0,0.0,0.0,8.0,0.0,2.57,0.0,37.37,84.94
vid_1131773,channel_6846,YouTube,2025-11-27,14,1306,Production,1,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vid_1129394,channel_6846,YouTube,2025-11-23,14,60,Short,227,,,109.0,,,10.0,0.0,0.0,4.0,0.0,4.41,0.0,28.81,48.02
vid_1126811,channel_6846,YouTube,2025-11-23,10,1230,Production,7,,,20.0,,,0.0,0.0,2.0,0.0,0.0,28.57,0.0,171.43,13.94
vid_1127078,channel_6846,YouTube,2025-11-22,14,1550,Production,62,,,168.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.58,10.49
vid_1130585,channel_6846,YouTube,2025-11-20,15,38,Short,283,,,144.0,,,8.0,0.0,0.0,0.0,0.0,2.83,0.0,30.53,80.34
vid_1129272,channel_6846,YouTube,2025-11-19,15,1347,Production,1,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vid_1121607,channel_6846,YouTube,2025-11-17,16,,Live,5,,,39.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,0.0
vid_1130277,channel_6846,YouTube,2025-11-16,14,1066,Production,2,,,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,14.07
vid_1129444,channel_6846,YouTube,2025-11-16,12,22,Short,243,,,88.0,,,4.0,0.0,0.0,1.0,0.0,1.65,0.0,21.73,98.77
vid_1128283,channel_6846,YouTube,2025-11-15,12,1483,Production,7,,,50.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.57,28.9
vid_1132136,channel_6846,YouTube,2025-11-14,15,58,Short,327,,,213.0,,,3.0,1.0,0.0,6.0,0.0,1.22,0.0,39.08,67.38
vid_1131552,channel_6846,YouTube,2025-11-12,14,29,Short,239,,,115.0,,,2.0,0.0,0.0,0.0,0.0,0.84,0.0,28.87,99.55
